HOST	NAME	DATATYPE	ADDRESS	COMMENT	TAGLINK	RW	POU
	Station_1B2	BOOL	IOBus://rack#0/slot#2/Ch1_In/Ch1_In05	Lifting Cylinder Down	TRUE	RW	
	Station_1B1	BOOL	IOBus://rack#0/slot#2/Ch1_In/Ch1_In04	Lifting Cylinder Up	TRUE	RW	
	Station_B5	BOOL	IOBus://rack#0/slot#2/Ch1_In/Ch1_In03	Workpiece Height Correct	TRUE	RW	
	Station_3S1	BOOL		arm_in_magazine	TRUE	RW	
	Station_3S2	BOOL		arm_in_downstream	TRUE	RW	
	Station_2B1	BOOL	IOBus://rack#0/slot#2/Ch1_In/Ch1_In06	Ejecting Cylinder Retracted	TRUE	RW	
	Panel_S1	BOOL	IOBus://rack#0/slot#2/Ch1_In/Ch1_In08	start_button	TRUE	RW	
	Panel_S2	BOOL	IOBus://rack#0/slot#2/Ch1_In/Ch1_In09	stop_button	TRUE	RW	
	Panel_S4	BOOL	IOBus://rack#0/slot#2/Ch1_In/Ch1_In11	reset_button	TRUE	RW	
	Station_1Y1	BOOL	IOBus://rack#0/slot#3/Ch1_Out/Ch1_Out00	Lift Down	TRUE	RW	
	Station_1Y2	BOOL	IOBus://rack#0/slot#3/Ch1_Out/Ch1_Out01	Lift Up	TRUE	RW	
	Station_2Y1	BOOL	IOBus://rack#0/slot#3/Ch1_Out/Ch1_Out02	Advance Ejecting Cylinder	TRUE	RW	
	Station_3Y1	BOOL	IOBus://rack#0/slot#3/Ch1_Out/Ch1_Out03	Air Cushion On	TRUE	RW	
	Station_3Y2	BOOL		arm_2_downstream	TRUE	RW	
	Station_H1	BOOL	IOBus://rack#0/slot#3/Ch1_Out/Ch1_Out08	start light	TRUE	RW	
	Station_H2	BOOL	IOBus://rack#0/slot#3/Ch1_Out/Ch1_Out09	reset light	TRUE	RW	
	Panel_H3	BOOL	IOBus://rack#0/slot#3/Ch1_Out/Ch1_Out10	Q1 light	TRUE	RW	
	Panel_H4	BOOL	IOBus://rack#0/slot#3/Ch1_Out/Ch1_Out11	Q2 light	TRUE	RW	
	SCADA_START	BOOL			IN	RW	
	SCADA_STOP	BOOL			IN	RW	
	SCADA_RESET	BOOL			IN	RW	
	eject_1	BOOL			TRUE	RW	
	eject_2	BOOL			TRUE	RW	
	eject_3	BOOL			TRUE	RW	
	eject_4	BOOL			TRUE	RW	
	eject_5	BOOL			TRUE	RW	
	workpiece_carried	BOOL			TRUE	RW	
	cnt2	INT			TRUE	RW	
	eject_black_top	BOOL			TRUE	RW	
	white_eject_bottom	BOOL			TRUE	RW	
